midi_note,note_name,event,velocity,delta,cumulative_time
64,E4,note_off,98,0.026223750000000004,16853.13
78,F#5,note_on,98,0.034965,16888.09
48,C3,note_on,98,0,16888.09
78,F#5,note_off,98,0.04370625,16931.8
48,C3,note_off,98,0.026223750000000004,16958.02
79,G5,note_on,98,0.034965,16992.99
48,C3,note_on,98,0,16992.99
79,G5,note_off,98,0.04370625,17036.7
48,C3,note_off,98,0.026223750000000004,17062.92
84,C6,note_on,98,0.034965,17097.88
60,C4,note_on,98,0,17097.88
84,C6,note_off,98,0.04370625,17141.59
60,C4,note_off,98,0.026223750000000004,17167.81
48,C3,note_on,98,0.034965,17202.78
48,C3,note_off,98,0.06993,17272.71
48,C3,note_on,98,0.034965,17307.67
48,C3,note_off,98,0.06993,17377.6
64,E4,note_on,98,0.034965,17412.57
64,E4,note_off,98,0.06993,17482.5
48,C3,note_on,98,0.034965,17517.46
48,C3,note_off,98,0.06993,17587.39
76,E5,note_on,98,0.034965,17622.36
48,C3,note_on,98,0,17622.36
76,E5,note_off,98,0.04370625,17666.07
48,C3,note_off,98,0.026223750000000004,17692.29
78,F#5,note_on,98,0.034965,17727.25
60,C4,note_on,98,0,17727.25
78,F#5,note_off,98,0.04370625,17770.96
60,C4,note_off,98,0.026223750000000004,17797.18
79,G5,note_on,98,0.034965,17832.15
48,C3,note_on,98,0,17832.15
79,G5,note_off,98,0.04370625,17875.86
48,C3,note_off,98,0.026223750000000004,17902.08
84,C6,note_on,98,0.034965,17937.04
48,C3,note_on,98,0,17937.04
84,C6,note_off,98,0.04370625,17980.75
48,C3,note_off,98,0.026223750000000004,18006.97
64,E4,note_on,98,0.034965,18041.94
64,E4,note_off,98,0.06993,18111.87
64,E4,note_on,98,0.034965,18146.83
64,E4,note_off,98,0.06993,18216.76
66,F#4,note_on,98,0.034965,18251.73
66,F#4,note_off,98,0.06993,18321.66
48,C3,note_on,98,0.034965,18356.62
48,C3,note_off,98,0.06993,18426.55
76,E5,note_on,98,0.034965,18461.52
67,G4,note_on,98,0,18461.52
76,E5,note_off,98,0.04370625,18505.23
67,G4,note_off,98,0.026223750000000004,18531.45
78,F#5,note_on,98,0.034965,18566.41
48,C3,note_on,98,0,18566.41
78,F#5,note_off,98,0.04370625,18610.12
48,C3,note_off,98,0.026223750000000004,18636.34
79,G5,note_on,98,0.034965,18671.31
48,C3,note_on,98,0,18671.31
79,G5,note_off,98,0.04370625,18715.02
48,C3,note_off,98,0.026223750000000004,18741.24
84,C6,note_on,98,0.034965,18776.2
64,E4,note_on,98,0,18776.2
84,C6,note_off,98,0.04370625,18819.91
64,E4,note_off,98,0.026223750000000004,18846.13
48,C3,note_on,98,0.034965,18881.1
48,C3,note_off,98,0.06993,18951.03
48,C3,note_on,98,0.034965,18985.99
48,C3,note_off,98,0.06993,19055.92
67,G4,note_on,98,0.034965,19090.89
67,G4,note_off,98,0.06993,19160.82
48,C3,note_on,98,0.034965,19195.78
48,C3,note_off,98,0.06993,19265.71
76,E5,note_on,98,0.034965,19300.68
48,C3,note_on,98,0,19300.68
76,E5,note_off,98,0.04370625,19344.39
48,C3,note_off,98,0.026223750000000004,19370.61
78,F#5,note_on,98,0.034965,19405.57
69,A4,note_on,98,0,19405.57
78,F#5,note_off,98,0.04370625,19449.28
69,A4,note_off,98,0.026223750000000004,19475.5
79,G5,note_on,98,0.034965,19510.47
48,C3,note_on,98,0,19510.47
79,G5,note_off,98,0.04370625,19554.18
48,C3,note_off,98,0.026223750000000004,19580.4
84,C6,note_on,98,0.034965,19615.36
48,C3,note_on,98,0,19615.36
84,C6,note_off,98,0.04370625,19659.07
48,C3,note_off,98,0.026223750000000004,19685.29
66,F#4,note_on,98,0.034965,19720.26
66,F#4,note_off,98,0.06993,19790.19
48,C3,note_on,98,0.034965,19825.15
48,C3,note_off,98,0.06993,19895.08
69,A4,note_on,98,0.034965,19930.05
69,A4,note_off,98,0.06993,19999.98
48,C3,note_on,98,0.034965,20034.94
48,C3,note_off,98,0.06993,20104.87
76,E5,note_on,98,0.034965,20139.84
71,B4,note_on,98,0,20139.84
76,E5,note_off,98,0.04370625,20183.55
71,B4,note_off,98,0.026223750000000004,20209.77
78,F#5,note_on,98,0.034965,20244.73
55,G3,note_on,98,0,20244.73
78,F#5,note_off,98,0.04370625,20288.44
55,G3,note_off,98,0.026223750000000004,20314.66
79,G5,note_on,98,0.034965,20349.63
55,G3,note_on,98,0,20349.63
79,G5,note_off,98,0.04370625,20393.34
55,G3,note_off,98,0.026223750000000004,20419.56
86,D6,note_on,98,0.034965,20454.52
67,G4,note_on,98,0,20454.52
86,D6,note_off,98,0.04370625,20498.23
67,G4,note_off,98,0.026223750000000004,20524.45
55,G3,note_on,98,0.034965,20559.42
55,G3,note_off,98,0.06993,20629.35
55,G3,note_on,98,0.034965,20664.31
55,G3,note_off,98,0.06993,20734.24
71,B4,note_on,98,0.034965,20769.21
71,B4,note_off,98,0.06993,20839.14
55,G3,note_on,98,0.034965,20874.1
55,G3,note_off,98,0.06993,20944.03
76,E5,note_on,98,0.034965,20979.0
55,G3,note_on,98,0,20979.0
76,E5,note_off,98,0.04370625,21022.71
55,G3,note_off,98,0.026223750000000004,21048.93
78,F#5,note_on,98,0.034965,21083.89
67,G4,note_on,98,0,21083.89
78,F#5,note_off,98,0.04370625,21127.6
67,G4,note_off,98,0.026223750000000004,21153.82
79,G5,note_on,98,0.034965,21188.79
55,G3,note_on,98,0,21188.79
79,G5,note_off,98,0.04370625,21232.5
55,G3,note_off,98,0.026223750000000004,21258.72
86,D6,note_on,98,0.034965,21293.68
55,G3,note_on,98,0,21293.68
86,D6,note_off,98,0.04370625,21337.39
55,G3,note_off,98,0.026223750000000004,21363.61
74,D5,note_on,98,0.034965,21398.58
74,D5,note_off,98,0.06993,21468.51
55,G3,note_on,98,0.034965,21503.47
55,G3,note_off,98,0.06993,21573.4
67,G4,note_on,98,0.034965,21608.37
67,G4,note_off,98,0.06993,21678.3
55,G3,note_on,98,0.034965,21713.26
55,G3,note_off,98,0.06993,21783.19
76,E5,note_on,98,0.034965,21818.16
69,A4,note_on,98,0,21818.16
76,E5,note_off,98,0.04370625,21861.87
69,A4,note_off,98,0.026223750000000004,21888.09
78,F#5,note_on,98,0.034965,21923.05
54,F#3,note_on,98,0,21923.05
78,F#5,note_off,98,0.04370625,21966.76
54,F#3,note_off,98,0.026223750000000004,21992.98
79,G5,note_on,98,0.034965,22027.95
54,F#3,note_on,98,0,22027.95
79,G5,note_off,98,0.04370625,22071.66
54,F#3,note_off,98,0.026223750000000004,22097.88
84,C6,note_on,98,0.034965,22132.84
66,F#4,note_on,98,0,22132.84
84,C6,note_off,98,0.04370625,22176.55
66,F#4,note_off,98,0.026223750000000004,22202.77
54,F#3,note_on,98,0.034965,22237.74
54,F#3,note_off,98,0.06993,22307.67
54,F#3,note_on,98,0.034965,22342.63
54,F#3,note_off,98,0.06993,22412.56
69,A4,note_on,98,0.034965,22447.53
69,A4,note_off,98,0.06993,22517.46
54,F#3,note_on,98,0.034965,22552.42
54,F#3,note_off,98,0.06993,22622.35
76,E5,note_on,98,0.034965,22657.32
54,F#3,note_on,98,0,22657.32
76,E5,note_off,98,0.04370625,22701.03
54,F#3,note_off,98,0.026223750000000004,22727.25
78,F#5,note_on,98,0.034965,22762.21
74,D5,note_on,98,0,22762.21
78,F#5,note_off,98,0.04370625,22805.92
74,D5,note_off,98,0.026223750000000004,22832.14
79,G5,note_on,98,0.034965,22867.11
54,F#3,note_on,98,0,22867.11
79,G5,note_off,98,0.04370625,22910.82
54,F#3,note_off,98,0.026223750000000004,22937.04
84,C6,note_on,98,0.034965,22972.0
54,F#3,note_on,98,0,22972.0
84,C6,note_off,98,0.04370625,23015.71
54,F#3,note_off,98,0.026223750000000004,23041.93
69,A4,note_on,98,0.034965,23076.9
69,A4,note_off,98,0.06993,23146.83
69,A4,note_on,98,0.034965,23181.79
69,A4,note_off,98,0.06993,23251.72
66,F#4,note_on,98,0.034965,23286.69
66,F#4,note_off,98,0.06993,23356.62
54,F#3,note_on,98,0.034965,23391.58
54,F#3,note_off,98,0.06993,23461.51
76,E5,note_on,98,0.034965,23496.48
67,G4,note_on,98,0,23496.48
76,E5,note_off,98,0.04370625,23540.19
67,G4,note_off,98,0.026223750000000004,23566.41
78,F#5,note_on,98,0.034965,23601.37
52,E3,note_on,98,0,23601.37
78,F#5,note_off,98,0.04370625,23645.08
52,E3,note_off,98,0.026223750000000004,23671.3
79,G5,note_on,98,0.034965,23706.27
52,E3,note_on,98,0,23706.27
79,G5,note_off,98,0.04370625,23749.98
52,E3,note_off,98,0.026223750000000004,23776.2
83,B5,note_on,98,0.034965,23811.16
64,E4,note_on,98,0,23811.16
83,B5,note_off,98,0.04370625,23854.87
64,E4,note_off,98,0.026223750000000004,23881.09
52,E3,note_on,98,0.034965,23916.06
52,E3,note_off,98,0.06993,23985.99
52,E3,note_on,98,0.034965,24020.95
52,E3,note_off,98,0.06993,24090.88
67,G4,note_on,98,0.034965,24125.85
67,G4,note_off,98,0.06993,24195.78
52,E3,note_on,98,0.034965,24230.74
52,E3,note_off,98,0.06993,24300.67
76,E5,note_on,98,0.034965,24335.64
52,E3,note_on,98,0,24335.64
76,E5,note_off,98,0.04370625,24379.35
52,E3,note_off,98,0.026223750000000004,24405.57
78,F#5,note_on,98,0.034965,24440.53
64,E4,note_on,98,0,24440.53
78,F#5,note_off,98,0.04370625,24484.24
64,E4,note_off,98,0.026223750000000004,24510.46
79,G5,note_on,98,0.034965,24545.43
52,E3,note_on,98,0,24545.43
79,G5,note_off,98,0.04370625,24589.14
52,E3,note_off,98,0.026223750000000004,24615.36
83,B5,note_on,98,0.034965,24650.32
52,E3,note_on,98,0,24650.32
83,B5,note_off,98,0.04370625,24694.03
52,E3,note_off,98,0.026223750000000004,24720.25
67,G4,note_on,98,0.034965,24755.22
67,G4,note_off,98,0.06993,24825.15
52,E3,note_on,98,0.034965,24860.11
52,E3,note_off,98,0.06993,24930.04
64,E4,note_on,98,0.034965,24965.01
64,E4,note_off,98,0.06993,25034.94
52,E3,note_on,98,0.034965,25069.9
52,E3,note_off,98,0.06993,25139.83
76,E5,note_on,98,0.034965,25174.8
71,B4,note_on,98,0,25174.8
76,E5,note_off,98,0.04370625,25218.51
71,B4,note_off,98,0.026223750000000004,25244.73
78,F#5,note_on,98,0.034965,25279.69
71,B4,note_on,98,0,25279.69
78,F#5,note_off,98,0.04370625,25323.4
71,B4,note_off,98,0.026223750000000004,25349.62
79,G5,note_on,98,0.034965,25384.59
52,E3,note_on,98,0,25384.59
79,G5,note_off,98,0.04370625,25428.3
52,E3,note_off,98,0.026223750000000004,25454.52
83,B5,note_on,98,0.034965,25489.48
67,G4,note_on,98,0,25489.48
83,B5,note_off,98,0.04370625,25533.19
67,G4,note_off,98,0.026223750000000004,25559.41
52,E3,note_on,98,0.034965,25594.38
52,E3,note_off,98,0.06993,25664.31
52,E3,note_on,98,0.034965,25699.27
52,E3,note_off,98,0.06993,25769.2
76,E5,note_on,98,0.034965,25804.17
76,E5,note_off,98,0.06993,25874.1
52,E3,note_on,98,0.034965,25909.06
52,E3,note_off,98,0.06993,25978.99
78,F#5,note_on,98,0.034965,26013.96
52,E3,note_on,98,0,26013.96
78,F#5,note_off,98,0.04370625,26057.67
52,E3,note_off,98,0.026223750000000004,26083.89
79,G5,note_on,98,0.034965,26118.85
71,B4,note_on,98,0,26118.85
79,G5,note_off,98,0.04370625,26162.56
71,B4,note_off,98,0.026223750000000004,26188.78
81,A5,note_on,98,0.034965,26223.75
52,E3,note_on,98,0,26223.75
81,A5,note_off,98,0.04370625,26267.46
52,E3,note_off,98,0.026223750000000004,26293.68
83,B5,note_on,98,0.034965,26328.64
52,E3,note_on,98,0,26328.64
83,B5,note_off,98,0.04370625,26372.35
52,E3,note_off,98,0.026223750000000004,26398.57
78,F#5,note_on,98,0.034965,26433.54
78,F#5,note_off,98,0.06993,26503.47
52,E3,note_on,98,0.034965,26538.43
52,E3,note_off,98,0.06993,26608.36
84,C6,note_on,98,0.034965,26643.33
79,G5,note_on,98,0,26643.33
84,C6,note_off,98,0.04370625,26687.04
79,G5,note_off,98,0.026223750000000004,26713.26
83,B5,note_on,98,0.034965,26748.22
79,G5,note_on,98,0,26748.22
83,B5,note_off,98,0.04370625,26791.93
79,G5,note_off,98,0.026223750000000004,26818.15
